mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.054591035842895506,0.012279945017847967,0.018680858612060546,0.002950830297180026,100.0,scale,linear,"{'model__C': 100, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.902742620963847,0.8994845581286259,0.86345453006405,0.8850335833258034,0.8996084910253458,0.8900647567015344,0.014655788162073729,1
0.04791779518127441,0.008984423713100128,0.010617542266845702,0.0022430063831980172,100.0,auto,linear,"{'model__C': 100, 'model__gamma': 'auto', 'model__kernel': 'linear'}",0.902742620963847,0.8994845581286259,0.86345453006405,0.8850335833258034,0.8996084910253458,0.8900647567015344,0.014655788162073729,1
0.05255599021911621,0.013697756303377225,0.016350173950195314,0.0007507652673136302,10.0,auto,linear,"{'model__C': 10, 'model__gamma': 'auto', 'model__kernel': 'linear'}",0.8968497212338864,0.8994845581286259,0.86345453006405,0.8850335833258034,0.8996084910253458,0.8888861767555423,0.013800890415216541,3
0.054507875442504884,0.012269901493048886,0.016994333267211913,0.0014231065034298002,10.0,scale,linear,"{'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.8968497212338864,0.8994845581286259,0.86345453006405,0.8850335833258034,0.8996084910253458,0.8888861767555423,0.013800890415216541,3
0.04163827896118164,0.006631153057668669,0.025258827209472656,0.001575101305312969,10.0,auto,rbf,"{'model__C': 10, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.8942011521589768,0.879897738549424,0.8482874859345447,0.9173116989620189,0.8605035191839262,0.8800403189577782,0.02441161299033908,5
0.04155983924865723,0.0015807188661166966,0.01739840507507324,0.0016150257978065688,1.0,auto,linear,"{'model__C': 1, 'model__gamma': 'auto', 'model__kernel': 'linear'}",0.8742107376446457,0.8814931301138198,0.8492430225102089,0.8943612674588284,0.8906775067750677,0.8779971329005141,0.01601208563134759,6
0.0440338134765625,0.0032037024668389634,0.020051240921020508,0.005644732901630741,1.0,scale,linear,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.8742107376446457,0.8814931301138198,0.8492430225102089,0.8943612674588284,0.8906775067750677,0.8779971329005141,0.01601208563134759,6
0.03848695755004883,0.0011636712066130748,0.023847198486328124,0.0005522927269281453,100.0,auto,rbf,"{'model__C': 100, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.8921296972055984,0.8938658825451278,0.853353391669053,0.893221597913578,0.855025140490979,0.8775191419648672,0.019064180887354846,8
0.03906245231628418,0.004276768656391778,0.020270013809204103,0.003577981967942873,0.1,auto,linear,"{'model__C': 0.1, 'model__gamma': 'auto', 'model__kernel': 'linear'}",0.8827940577940577,0.8701019649431068,0.8556699581271434,0.8926644835556334,0.8609090591921179,0.8724279047224119,0.013681365609291937,9
0.07099485397338867,0.025214571923674652,0.019101476669311522,0.0005694796249463672,0.1,scale,linear,"{'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.8827940577940577,0.8701019649431068,0.8556699581271434,0.8926644835556334,0.8609090591921179,0.8724279047224119,0.013681365609291937,9
0.04894299507141113,0.002947024227037926,0.02905888557434082,0.0034778288734720023,10.0,scale,rbf,"{'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8595743853096793,0.8600133895316493,0.850470031896155,0.8856066475370635,0.8461006162565095,0.8603530141062115,0.013705997161423665,11
0.04830813407897949,0.001926502253263188,0.02602977752685547,0.0005827944517734292,100.0,scale,rbf,"{'model__C': 100, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8595743853096793,0.8600133895316493,0.850470031896155,0.8856066475370635,0.8461006162565095,0.8603530141062115,0.013705997161423665,11
0.04920520782470703,0.003708663693127703,0.030306673049926756,0.0039850293930943845,1.0,scale,rbf,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8872554744677508,0.8172187449269069,0.827730625934862,0.9016350902184236,0.8613233546430621,0.8590326580382012,0.032695450537649315,13
0.042327260971069335,0.002890851793855737,0.029230880737304687,0.0016448076630937811,1.0,auto,rbf,"{'model__C': 1, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.8301084635389504,0.8182988695891922,0.8589582178754872,0.8674126523983716,0.8673612750248445,0.8484278956853692,0.02036242290968052,14
0.06735682487487793,0.009201377882622068,0.03437347412109375,0.005040205299439894,0.1,auto,rbf,"{'model__C': 0.1, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.6185917807676696,0.534231143900536,0.6065044400876485,0.6155771670190274,0.585216469513304,0.5920242002576371,0.03116613060338823,15
0.11601967811584472,0.012116326145659861,0.0333808422088623,0.0021832411084917853,0.1,scale,rbf,"{'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.6038465720326186,0.5234774121807024,0.5562211197732105,0.6221290380100448,0.6193094431568312,0.5849967170306816,0.03879213666676665,16
